representation,subset,k,aggregation,n_windows,n_frames,n_points,n_labeled,n_species,n_clusters,ari,ami,nmi,purity,homogeneity,completeness,v_measure,silhouette,inertia,elapsed_s,embedding_dim,cluster_space,cluster_dim,umap_dim,l2_normalize,vocal_frames_only,n_frames_before,kmeans_batch_size,frames_per_window,random_state
a2v_5s_vote,single,80.0,majority_vote,141.0,30372.0,141.0,141.0,44.0,50.0,0.1266117986747776,0.21752884278695742,0.7111134296634812,0.5460992907801419,0.7299277732302684,0.6932446173174123,0.7111134296634812,0.023445583879947662,12005.5673828125,1.4394993782043457,768.0,native,768.0,,1.0,1.0,141141.0,128.0,1001.0,42.0
a2v_5s_vote,single,90.0,majority_vote,141.0,30372.0,141.0,141.0,44.0,46.0,0.09208673841782793,0.1750204464237292,0.6917774706104614,0.5106382978723404,0.7078552834632261,0.676413801281301,0.6917774706104614,0.014230957254767418,11932.1279296875,1.5733778476715088,768.0,native,768.0,,1.0,1.0,141141.0,128.0,1001.0,42.0
a2v_5s_vote,single,100.0,majority_vote,141.0,30372.0,141.0,141.0,44.0,52.0,0.15418053023307496,0.2422144852729132,0.7274672829472121,0.5886524822695035,0.7528504570097891,0.7037399240531551,0.7274672829472121,0.013093057088553905,11890.3154296875,1.591475248336792,768.0,native,768.0,,1.0,1.0,141141.0,128.0,1001.0,42.0
a2v_5s_vote,single,110.0,majority_vote,141.0,30372.0,141.0,141.0,44.0,57.0,0.11727912900689191,0.2029710313197917,0.7238411577928738,0.5815602836879432,0.75736996855132,0.6931551410310419,0.7238411577928738,0.01653093472123146,11691.291015625,1.7451403141021729,768.0,native,768.0,,1.0,1.0,141141.0,128.0,1001.0,42.0
a2v_5s_vote,single,120.0,majority_vote,141.0,30372.0,141.0,141.0,44.0,63.0,0.1642196024094876,0.25772401167941394,0.7592228626514513,0.6453900709219859,0.8098657544539195,0.7145408696761458,0.7592228626514513,0.020801294595003128,11645.833984375,1.814856767654419,768.0,native,768.0,,1.0,1.0,141141.0,128.0,1001.0,42.0
a2v_5s_vote,single,130.0,majority_vote,141.0,30372.0,141.0,141.0,44.0,59.0,0.20350654687433825,0.2704880373147355,0.7524855434499523,0.6453900709219859,0.7921057365170494,0.71664005462818,0.7524855434499522,0.008668732829391956,11560.9296875,1.9790992736816406,768.0,native,768.0,,1.0,1.0,141141.0,128.0,1001.0,42.0
a2v_5s_vote,single,140.0,majority_vote,141.0,30372.0,141.0,141.0,44.0,64.0,0.17736223612187652,0.2559062274424762,0.7581809920893376,0.6524822695035462,0.8080758526025829,0.7140893532189274,0.7581809920893376,0.009204176254570484,11534.7919921875,1.9966487884521484,768.0,native,768.0,,1.0,1.0,141141.0,128.0,1001.0,42.0
a2v_5s_vote,single,150.0,majority_vote,141.0,30372.0,141.0,141.0,44.0,62.0,0.14574560914272752,0.23891300854560418,0.7435552664754539,0.624113475177305,0.7834849216303429,0.7074982106301693,0.7435552664754538,0.003351640421897173,11514.419921875,2.114788293838501,768.0,native,768.0,,1.0,1.0,141141.0,128.0,1001.0,42.0
a2v_5s_vote,single,160.0,majority_vote,141.0,30372.0,141.0,141.0,44.0,61.0,0.10125727114175594,0.19207764566412078,0.7256544575792877,0.5957446808510638,0.7630510225574271,0.6917521952736567,0.7256544575792877,0.013805392198264599,11389.7158203125,2.179457426071167,768.0,native,768.0,,1.0,1.0,141141.0,128.0,1001.0,42.0
a2v_5s_vote,single,170.0,majority_vote,141.0,30372.0,141.0,141.0,44.0,70.0,0.14152904499610464,0.2234162982564303,0.7615086290112756,0.6737588652482269,0.8238474847880962,0.7079402377782571,0.7615086290112754,0.013893679715692997,11303.0498046875,2.2423453330993652,768.0,native,768.0,,1.0,1.0,141141.0,128.0,1001.0,42.0
a2v_5s_vote,single,180.0,majority_vote,141.0,30372.0,141.0,141.0,44.0,68.0,0.14488130360999368,0.23511774958309414,0.7640299257488142,0.6808510638297872,0.8260765369680414,0.7106527923416398,0.7640299257488143,0.018220804631710052,11264.791015625,2.3830344676971436,768.0,native,768.0,,1.0,1.0,141141.0,128.0,1001.0,42.0
a2v_5s_vote,single,190.0,majority_vote,141.0,30372.0,141.0,141.0,44.0,70.0,0.1326989902618427,0.20662796178938905,0.7594876947288356,0.6737588652482269,0.8251102083694376,0.7035343314182974,0.7594876947288357,0.006522209383547306,11240.58984375,2.415027618408203,768.0,native,768.0,,1.0,1.0,141141.0,128.0,1001.0,42.0
a2v_5s_vote,single,200.0,majority_vote,141.0,30372.0,141.0,141.0,44.0,69.0,0.16242119227942656,0.25265877328254366,0.7672470272261852,0.6879432624113475,0.8272857847346897,0.715333036320106,0.7672470272261851,0.006945006549358368,11170.9296875,2.4831604957580566,768.0,native,768.0,,1.0,1.0,141141.0,128.0,1001.0,42.0
birdnet_3s,single,10.0,window_embedding,310.0,,310.0,310.0,61.0,10.0,0.1071630107019799,0.3735034280009251,0.5146722331275302,0.2903225806451613,0.3864023369856302,0.770420614363943,0.5146722331275302,0.11425220221281052,101.84391021728516,0.08144259452819824,1024.0,native,1024.0,,1.0,0.0,,128.0,,42.0
birdnet_3s,single,20.0,window_embedding,310.0,,310.0,310.0,61.0,20.0,0.16056802402181247,0.4184846087337903,0.6122404484135949,0.4129032258064516,0.5164600853805865,0.7516353593099548,0.6122404484135949,0.07581939548254013,90.1904296875,0.13463425636291504,1024.0,native,1024.0,,1.0,0.0,,128.0,,42.0
birdnet_3s,single,30.0,window_embedding,310.0,,310.0,310.0,61.0,29.0,0.18595453936586592,0.44536339334690095,0.6541644067215289,0.45806451612903226,0.5746225093264322,0.7592654283834008,0.6541644067215289,0.06207023561000824,84.1069564819336,0.20430397987365723,1024.0,native,1024.0,,1.0,0.0,,128.0,,42.0
birdnet_3s,single,40.0,window_embedding,310.0,,310.0,310.0,61.0,40.0,0.19154055594968658,0.46988892248948744,0.6891879174073392,0.5290322580645161,0.6224079266734023,0.7720202585504916,0.6891879174073392,0.06717085093259811,78.71804809570312,0.271665096282959,1024.0,native,1024.0,,1.0,0.0,,128.0,,42.0
birdnet_3s,single,50.0,window_embedding,310.0,,310.0,310.0,61.0,50.0,0.14759590974073003,0.44529179477380626,0.6978698534460736,0.5612903225806452,0.6478891980153445,0.756206522344972,0.6978698534460736,0.0680493488907814,71.1322250366211,0.32737278938293457,1024.0,native,1024.0,,1.0,0.0,,128.0,,42.0
birdnet_3s,single,60.0,window_embedding,310.0,,310.0,310.0,61.0,60.0,0.15813576479336805,0.4242413938499696,0.6905960820012366,0.5483870967741935,0.6452230449854142,0.7428332099087392,0.6905960820012366,0.06066481024026871,68.9706039428711,0.4186580181121826,1024.0,native,1024.0,,1.0,0.0,,128.0,,42.0
birdnet_3s,single,70.0,window_embedding,310.0,,310.0,310.0,61.0,70.0,0.16459897133658696,0.39226414880960325,0.6968634452334068,0.5774193548387097,0.6814453975071266,0.7129953260951222,0.6968634452334068,0.00816297996789217,65.31230163574219,0.5036790370941162,1024.0,native,1024.0,,1.0,0.0,,128.0,,42.0
birdnet_3s,single,80.0,window_embedding,310.0,,310.0,310.0,61.0,80.0,0.16934343024857162,0.41086181293803586,0.7128723238392197,0.6,0.6977449581108279,0.7286701592315469,0.7128723238392196,0.02106231264770031,63.278106689453125,0.5592043399810791,1024.0,native,1024.0,,1.0,0.0,,128.0,,42.0
birdnet_3s,single,90.0,window_embedding,310.0,,310.0,310.0,61.0,90.0,0.239482670697119,0.44246126488598625,0.748685407618788,0.6903225806451613,0.7649426399496925,0.733104820567636,0.748685407618788,0.032743651419878006,55.15462875366211,0.6320266723632812,1024.0,native,1024.0,,1.0,0.0,,128.0,,42.0
birdnet_3s,single,100.0,window_embedding,310.0,,310.0,310.0,61.0,100.0,0.15798571844482476,0.38711238802257975,0.7264710511206551,0.6483870967741936,0.7383112884122187,0.7150045815661868,0.726471051120655,0.002543153241276741,55.87775802612305,0.6998791694641113,1024.0,native,1024.0,,1.0,0.0,,128.0,,42.0
birdnet_3s,single,110.0,window_embedding,310.0,,310.0,310.0,61.0,109.0,0.1655647181952734,0.3610019019711069,0.7245307836936467,0.6419354838709678,0.7501329741343346,0.7006185312248189,0.7245307836936465,-0.01422155275940895,53.76232147216797,0.766716480255127,1024.0,native,1024.0,,1.0,0.0,,128.0,,42.0
birdnet_3s,single,120.0,window_embedding,310.0,,310.0,310.0,61.0,118.0,0.14824011046072172,0.335214254213159,0.7240637521886202,0.6774193548387096,0.7598316811006702,0.6915118749753311,0.7240637521886203,-0.00010387666407041252,51.944515228271484,0.8192317485809326,1024.0,native,1024.0,,1.0,0.0,,128.0,,42.0
birdnet_3s,single,130.0,window_embedding,310.0,,310.0,310.0,61.0,126.0,0.21410235996783736,0.4073502895006364,0.7666101584485511,0.7451612903225806,0.8219296400347891,0.718267589047338,0.766610158448551,0.007506974507123232,46.71552658081055,0.8815526962280273,1024.0,native,1024.0,,1.0,0.0,,128.0,,42.0
birdnet_3s,single,140.0,window_embedding,310.0,,310.0,310.0,61.0,134.0,0.16801658662468705,0.37599587494817055,0.7626814732004655,0.7580645161290323,0.8253250835289304,0.7088765121219813,0.7626814732004654,-0.00024330269661732018,43.27973937988281,0.9766662120819092,1024.0,native,1024.0,,1.0,0.0,,128.0,,42.0
birdnet_3s,single,150.0,window_embedding,310.0,,310.0,310.0,61.0,139.0,0.166519034123495,0.35837581640787325,0.7643111117040245,0.7516129032258064,0.8380899300226385,0.7024711037512507,0.7643111117040245,0.009331965819001198,40.16860580444336,1.0758693218231201,1024.0,native,1024.0,,1.0,0.0,,128.0,,42.0
birdnet_3s,single,160.0,window_embedding,310.0,,310.0,310.0,61.0,153.0,0.11896335648410081,0.2981333221508961,0.7472019870879812,0.7548387096774194,0.820374572424892,0.6860136091840593,0.7472019870879812,0.0005367371486499906,39.35540771484375,1.146803617477417,1024.0,native,1024.0,,1.0,0.0,,128.0,,42.0
birdnet_3s,single,170.0,window_embedding,310.0,,310.0,310.0,61.0,158.0,0.17679187602414964,0.36301486178000303,0.77349381426781,0.8064516129032258,0.8511672758949347,0.7088110977650555,0.77349381426781,0.0014965531881898642,36.97003173828125,1.2070939540863037,1024.0,native,1024.0,,1.0,0.0,,128.0,,42.0
birdnet_3s,single,180.0,window_embedding,310.0,,310.0,310.0,61.0,171.0,0.1303386756537264,0.29349511144079105,0.7651859422316665,0.7967741935483871,0.8632343817465188,0.687138893106134,0.7651859422316666,0.008683804422616959,30.518613815307617,1.3168435096740723,1024.0,native,1024.0,,1.0,0.0,,128.0,,42.0
birdnet_3s,single,190.0,window_embedding,310.0,,310.0,310.0,61.0,184.0,0.12029568355489549,0.2805814130725292,0.7708305482442325,0.832258064516129,0.8800852642559952,0.6857062488918276,0.7708305482442325,0.008402341045439243,27.61551856994629,1.3869173526763916,1024.0,native,1024.0,,1.0,0.0,,128.0,,42.0
