===SWEEPS===
model,trial,seed,k,ARI,AMI,NMI,RI,Silhouette,Inertia
ssl_pretrain,7,48,70,0.0890970843905562,0.22244999654348252,0.22389574976264345,0.8981737072067979,-0.043585170060396194,395498.46875
ssl_pretrain,7,48,80,0.11645697180698995,0.26334690293629,0.26519409818634954,0.931338486217431,-0.006254252512007952,387064.0625
ssl_pretrain,7,48,90,0.10403014782276453,0.24331921285311375,0.24526068655533786,0.9207224123632678,-0.014678704552352428,388425.6875
ssl_pretrain,7,48,100,0.11358097201203775,0.2748909419639407,0.27708123433047366,0.9254407491890714,0.01217555720359087,384038.53125
ssl_pretrain,7,48,110,0.10173745193860219,0.2726808558918105,0.27545639742000505,0.9334666602695697,-0.0031021134927868843,380226.90625
ssl_pretrain,7,48,120,0.12462223698021423,0.2900141346561372,0.2929995213958679,0.9351426444494881,-0.005274678114801645,376707.90625
ssl_pretrain,7,48,130,0.1053526707700212,0.3001367852769841,0.303562423451337,0.9425106900627285,-0.007232072297483683,373400.3125
ssl_pretrain,7,48,140,0.13886043055647584,0.2886546332455814,0.2924524608234818,0.9460833610365789,-0.0055568828247487545,373910.59375
ssl_pretrain,7,48,150,0.14823866248087103,0.308360244435535,0.31235102321851127,0.9504490487418938,-0.020015530288219452,371261.46875
ssl_pretrain,7,48,160,0.09802129197347104,0.29952765334946047,0.303957787666032,0.9519129684697499,-0.011198911815881729,369197.375
ssl_pretrain,7,48,170,0.14311838989647255,0.30850757818691404,0.3132536082265023,0.9516593441095277,-0.011255341582000256,368669.125
ssl_pretrain,7,48,180,0.14420552545690443,0.3010711920451719,0.3062630391004026,0.9483854329572966,0.00542188948020339,369634.96875
ssl_pretrain,7,48,190,0.16218337864826016,0.3212593230236373,0.32659511057651797,0.9597059221389233,0.01315290480852127,364583.5625
ssl_pretrain,7,48,200,0.10347762315493836,0.30212824668290855,0.30795243525939164,0.952818573928677,-0.006337221711874008,366322.1875
ssl_pretrain,8,49,10,0.027580472408536675,0.1350955755437807,0.135529876825952,0.7274224630427558,-0.0026018051430583,410557.03125
ssl_pretrain,8,49,20,0.08277024158917902,0.22287270557412756,0.22373059525534847,0.8933790107454027,0.00282782013528049,397531.375
ssl_pretrain,8,49,30,0.07944136151736379,0.22041455034911264,0.22145995847906821,0.8804835026288627,-0.007014354690909386,398524.875
ssl_pretrain,8,49,40,0.08051531276768054,0.21459245997399828,0.2158204506454159,0.8985590727215684,0.002140979515388608,395926.8125
ssl_pretrain,8,49,50,0.061846072984608945,0.19520872266334383,0.19662289277863082,0.9102412180444115,-0.022848229855298996,392707.53125
ssl_pretrain,8,49,60,0.09559983656573348,0.22717972797088598,0.22860495230991418,0.9208269046259157,-0.01647872105240822,391470.34375
ssl_pretrain,8,49,70,0.10549984909577521,0.25100266505463137,0.2524876688730985,0.9172890607871419,-0.0007173594203777611,392127.96875
ssl_pretrain,8,49,80,0.08978573740055973,0.21975150421354428,0.22143022700349013,0.9108946840857989,-0.024497665464878082,395266.375
ssl_pretrain,8,49,90,0.09807182810578331,0.24136788843110935,0.24344263866086222,0.9188644930082133,-0.014996889978647232,388112.3125
ssl_pretrain,8,49,100,0.08446503374851341,0.26230292249858633,0.2647321056577849,0.925232030875933,0.005601335316896439,383069.59375
ssl_pretrain,8,49,110,0.10234206747557945,0.27262895477180543,0.27521352504145086,0.9433391978163785,0.008754405193030834,379115.65625
ssl_pretrain,8,49,120,0.10871407423612972,0.28195045896436416,0.2849529262543682,0.9463148827450802,0.008250204846262932,376475.9375
ssl_pretrain,8,49,130,0.10851881786346691,0.2773357847022972,0.2807181229292637,0.9466595349955583,-0.010166050866246223,375172.28125
ssl_pretrain,8,49,140,0.10324774979563255,0.2923634421942229,0.29607098085238615,0.9511186205601203,0.011685436591506004,372368.40625
ssl_pretrain,8,49,150,0.1368528284488823,0.2960388164168114,0.30011659454636264,0.9440922950488573,0.00482684513553977,372604.40625
ssl_pretrain,8,49,160,0.14827094310344632,0.2979273515102732,0.30234675922642046,0.9550920845597285,0.007913420908153057,369393.8125
ssl_pretrain,8,49,170,0.1609684425101917,0.30665221658812586,0.3114242224167517,0.9567604053977872,-0.0050133103504776955,369092.34375
ssl_pretrain,8,49,180,0.11877372882969546,0.3083084017321427,0.3133992492108861,0.9517060419827537,0.0010431921109557152,367646.46875
ssl_pretrain,8,49,190,0.15251835323915633,0.317621405611911,0.32293207133027735,0.9532926205467673,-0.015181509777903557,366648.75
ssl_pretrain,8,49,200,0.15733631808792672,0.3172714548868514,0.3229353332452383,0.9590410039275318,-0.0034353446681052446,364954.65625
ssl_pretrain,9,50,10,0.06341363132700764,0.16479432456046134,0.16534366764503236,0.8737981581521828,-0.004507038276642561,405574.3125
ssl_pretrain,9,50,20,0.04035514299338556,0.15933485981314294,0.16017886889315197,0.8672296484751394,0.004842366557568312,398725.78125
ssl_pretrain,9,50,30,0.09300455589789441,0.24779851160902905,0.2488154870544484,0.9049802527498427,-0.0017838050844147801,394714.1875
ssl_pretrain,9,50,40,0.06024165400233162,0.19545687742170728,0.1967365747586445,0.8706408652967995,0.0008627129718661308,399123.875
ssl_pretrain,9,50,50,0.07898325236107408,0.219815839753156,0.22125407436703087,0.8979418915850503,0.0004136516945436597,394157.75
ssl_pretrain,9,50,60,0.08144592834733676,0.2188766021688022,0.2202401819187934,0.9039733215796253,0.000691485998686403,394677.09375
ssl_pretrain,9,50,70,0.03610710851054167,0.18526106579354537,0.18664098670983859,0.833534091427584,-0.01210928987711668,401839.1875
ssl_pretrain,9,50,80,0.08781721302816936,0.23671036416702107,0.23842387806435672,0.8990090060114575,-0.0052865538746118546,393169.15625
ssl_pretrain,9,50,90,0.10614152252019103,0.2560895892480615,0.2580634682160978,0.9200167747252654,-0.0159164909273386,388099.125
ssl_pretrain,9,50,100,0.09476692312606799,0.24455568413844514,0.24703618689062748,0.9185353960928139,-0.015225405804812908,384713.9375
ssl_pretrain,9,50,110,0.12276131217898564,0.2733870958742364,0.27605821175605444,0.9354502040031799,0.01348118856549263,379425.0625
ssl_pretrain,9,50,120,0.14733822520103435,0.28811293080601685,0.29114189517336186,0.9463340878746611,-0.010130892507731915,376907.375
ssl_pretrain,9,50,130,0.11472871730926164,0.2885362458741823,0.29190528855339265,0.9504780023071465,5.4623233154416084e-05,374200.40625
ssl_pretrain,9,50,140,0.11433736917062871,0.3041262567997964,0.3077147260657517,0.9464631788801389,0.007118975277990103,372406.9375
ssl_pretrain,9,50,150,0.12965453924197315,0.310628480785281,0.3146146972681768,0.9552479749013028,-0.008171253837645054,370302.40625
ssl_pretrain,9,50,160,0.12425002485709742,0.30563302474610105,0.31012265521301013,0.9550827295734183,0.012286690063774586,368978.75
ssl_pretrain,9,50,170,0.1259873430116778,0.30703273766107586,0.31181786822042584,0.956214628160355,-0.012097690254449844,367678.3125
ssl_pretrain,9,50,180,0.1259870898854751,0.32003378085109235,0.324988392963995,0.9534717444135332,0.005299233831465244,367031.5625
ssl_pretrain,9,50,190,0.15962556733696245,0.3087158913589345,0.31422667311528735,0.9586921794353235,0.0016915472224354744,365187.71875
ssl_pretrain,9,50,200,0.10464645914308417,0.3125788222969507,0.3182856513149242,0.9580638254285494,-0.008599295280873775,364857.0625
ssl_pretrain,10,51,10,0.029529384788028613,0.18118632776507582,0.18161026512250647,0.6947426138328129,-0.0005327370017766953,412160.1875
ssl_pretrain,10,51,20,0.040508655585290244,0.15447507280517622,0.15523638112715996,0.844863115948477,-0.0026128708850592375,403487.4375
ssl_pretrain,10,51,30,0.08236460932247329,0.23120205937121577,0.23210120411142826,0.8913670124182689,0.003308856161311269,398331.875
ssl_pretrain,10,51,40,0.0744637082256256,0.22178525272108265,0.2228516230040398,0.880963595772515,-0.004443283658474684,400735.1875
ssl_pretrain,10,51,50,0.062448048589205774,0.18836628606611777,0.18959559291513375,0.8618363332476472,-0.021187422797083855,402952.90625
